【宏观策略】研报索引  生成 2026-08-09  共 75 篇
  26/7/12  华创证券            金融工程_王小川_【金工周报】择时模型看多信号减少，后市或震荡偏空
  26/7/12  华安证券            策略研究_郑小霞 刘超_策略研究周度报告：反弹值得期待，再迎产业布局时机
  26/7/12  华泰证券            宏观研究_易峘 胡李鹏_宏观海外周报：美伊冲突再度升温推高油价
  26/7/12  国信证券            宏观研究_邵兴宇 田地_多资产周报：韩股杠杆资金退潮
  26/7/12  国泰海通            金融工程_郑雅斌 曹君豪_量化择时和拥挤度预警周报：市场或继续维持弱势震荡格局
  26/7/12  国金证券            策略研究_牟一凌 纪博文_A股策略周报：交易去杠杆后的观测
  26/7/12  天风证券            策略研究_A股策略周报：PPI高点或现
  26/7/12  招商证券            金融工程_任瞳 刘凯_风格轮动择时周报：择时方面信号出现收敛
  26/7/12  财通证券            策略研究_徐近峰 王亦奕_投资策略报告：成长何时再起？价值如何选股？

== 周 2026-07-05 ==
  26/7/4  方正证券            策略研究_袁稻雨 刘力维_策略速评报告，一周复盘与前瞻：再平衡后市场机会增多
  26/7/3  华安证券            策略研究_郑小霞 刘超_策略研究市场点评：“强切强”契机出现，降温非终结
  26/7/3  国盛证券            宏观研究_熊园 穆仁文_2026年中期经济与资产展望：新旧的拐点
  26/7/2  东吴证券            宏观研究_非银金融_芦哲 唐遥衎_金融产品深度报告：纳斯达克100ETF，6月复盘与7月展望
  26/7/2  东吴证券            策略研究_芦哲 陈刚_策略深度报告：7月度金股，聚焦业绩主线
  26/7/2  平安证券            策略研究_靳旭媛 魏伟_K型分化寻新机，景气扩散拓新局——A股市场2026年中期策略报告
  26/7/2  渤海证券            策略研究_宋亦威 严佩佩_A股市场投资策略周报：沃什释放偏鸽言论，市场风格再平衡
  26/7/1  东方证券            宏观研究_郑月灵 周仕盈_多资产配置周报：海外滞涨风险，境内风偏波动

== 周 2026-06-21 ==
  26/6/19  招商证券            宏观研究_张静静_2026全球财政年中展望：外张内弛
  26/6/19  招商证券            策略研究_王武蕾 江雨航_全球多资产跟踪月报：油价高位回落，风险平价策略业绩承压
  26/6/18  华龙证券            策略研究_朱金金_A股投资策略点评报告：投融资结构不断优化，资本市场助力产业升级
  26/6/18  国元证券            宏观研究_刘乐 李卿_全球市场周报：能源通胀或已见顶，谈判利好带动反弹
  26/6/17  东方证券            宏观研究_郑月灵_多资产配置周报：美伊释放缓和预期，风险溢价短期回落

== 周 2026-06-14 ==
  26/6/14  光大证券            策略研究_策略周专题(2026年6月第2期)：关注市场风格阶段性切换
  26/6/14  —               大类资产配置双周报20260614
  26/6/12  国信证券            策略研究_吴信坤 杨锦_策略周报：欧盟要求企业避免对华供应链过度依赖——每周海内外重要政策跟踪

